text,Label
Disappointed with Amex. Been a customer for 16yrs. Due to COVID I was late on my pymt by about 2 weeks. Not over 30 days. Made a $10k pymt yesterday and immediately after that AMEX reduced my credit limit 40%. Terrible service to small business at a time like this.,-1
Not good and really not helpful. I had to physically mail in the dispute paperwork because the website does not allow downloading or emailing or have real humans to talk too. You all are too big and now I’m looking for a new CC company. Amex handles these issues via chat.,-1
"30 year AMEX Platinum member receiving the worst service imaginable. Platinum travel has Incompetent people working. Flight changed, cannot make tour in time, AMEX will not refund points or money",-1
This is very disrespectful to your customers. You guys are suspending access to accounts and then not allowing people to connect to anyone on your end to solve the issue. I had fraud on my account and in return it was locked without my permission.,-1
"trying to be sneaky & cancel my auto pay without letting me know , then charging me a late fee. Trying to make up the losses by screwing ur customers? Not happy",-1
What has happened to you? You've been my favorite card. You seemed to have lost that edge. So disappointed. Large companies performing poorly.,-1
Hmm... Him: *holding her envelope from Amex* it’s a shame that AmEx wasn’t able to fulfill your request to go paperless. Must be a processing failure on their end. *narrator* He avoided a potentially painful exit with verbal agility,-1
Great so now my AMEX card is due and I've got to either pay it $400++ and sit on these items or pay you $$ to return the items. I love you but that's ridiculous. This is good-bye. (PS - I've been a card holder since 2006!),-1
"I've bought everything on my Amex for years, still have not found one good time to use the points. The whole credit card rewards game is a scam.",-1
"Have tried multiple times with different credit cards (visa and amex) to make account purchase. Transaction continually fails. Banks say ""there's no problem on their end, it is on the merchant side"". Are you having cc transaction problems??",-1
I've been trying to get through to American Express for days. They finally take my call. Them hang up on me as soon as I tell them what the problem is. Now they are not accepting calls again.,-1
"Assurance has failed at the one job it had to do, INSURE MY FLIGHT! Since filing my claim a month and a half ago, still no resolution and my flight is supposed to leave tomorrow. Do not use AMEX Assurance flight insurance. TERRIBLE!!!",-1
Amex has become the worst in customer service with COVID-19. Other issuers like Chase are giving fee breaks etc because premium cards aren't so useful when you can't travel. Amex is so greedy they won't give you a break on the Platinum card when you can't use,-1
"Market Snapshot: S&P 500, Nasdaq cling to slight gains but head for weekly loss, as investors weigh earnings, coronavirus outlook",-1
"Already filed complaint with against . Soon to file complaints against . Not only is in the wrong from a legal standpoint, but this is a terrible way to treat customers during a pandemic!",-1
"has been absolutely AWFUL. Spent TWO hours on customer service Friday on a payment plan, and they cut me off AGAIN",-1
do you support this? Ticketmaster is a joke. My event is in may in Canada the border is closed until June & they refuse to issue a refund during an awful time. Its sick and disgusting. Even if it was played I cant attend the border will be closed,-1
"In a time when most companies are helping their customers, you have failed. I struggled but paid my bill in full, and the following day my membership fee showed up. Customer service was not flexible and said no way they could waive the fee. FAIL",-1
"major fail - placed order, was cancelled for no reason 45 minutes later, restaurant had no idea why, and Uber cash including AmEx platinum monthly bonus not immediately returned. Off to seamless I went. First time using and major disappointment.",-1
i was denied PPP because you still have me noted as deceased. I wrote a complaint to and you admitted the mistake. but you refused to change it. lied,-1
To the Gold card. Pretty disappointed. AMEX has always been NUMBER ONE in my opinion when it comes to customer service. Chase even is offering $100 credits on the Sapphire card due to Covid. Super disappointed and let down that AMEX wouldn’t work with me outside of downgrading.,-1
"Whatever you do, don’t have your tax return $ put in an Serve account. When you call for assistance, they won’t even take your call and they don’t offer online chat or email either. If you need help, you’re screwed. Sigh.",-1
Hey - what's the point of insurance if people get ignored when they need help and then hear a bunch of bs when they try to sort it out later? deserves compensation from you. Stop wasting her time with nonsense responses.,-1
WOW way to make COVVID-19 worse- refusing to waive annual membership fees when people have lost their jobs. Guess you don’t care about your customers as much as you say you do...,-1
you are withholding payment to a mother of 3 during COVID. Your service is not helpful. I sent funds to my vendor and it’s being held by you. Having deal with this as your service is absolutely awful,-1
"Whatever you do, don’t have your tax return $ put in an Serve account. When you call for assistance, they won’t even take your call and they don’t offer online chat or email either. If you need help, you’re screwed. Sigh.",-1
i was denied PPP because you still have me noted as deceased. I wrote a complaint to and you admitted the mistake. but you refused to change it. lied,-1
"Just tried to cancel one of your cards. Rep said even though I haven't used it, I still have to pay next year's annual fee cause I called a few days too late. Shameful policy during a lockdown. 28 year customer. Never again.",-1
"but not after getting nowhere. Just poor service, AmEx. Disappointed beyond what I'd ever expect with such a prestigious company.",-1
I am upset with how irs is handling stimulus I still haven’t recieved anything and I set up direct deposit but Jackson hewitt Amex serve cards must not want to help customers sad to say I will not be filing with them again,-1
American Express profit sinks 76% - For more information : - don't forget to subscribe,-1
"And I should note this is a rhetorical question bc I already got my money back from Amex, but wow. Why are y’all so awful?",-1
"Unless mi have like some 20k in them... holding out right now isnt worth it... prefer to pay off mi likkle debts so they dont become big debts, side note if amex mail u nu card cut it up",-1
"Just to drive this home. It is not my idea of a good time to spend 2 hours of my evening speaking to 6 different agents who are all ""sorry"" that this is not the ""experience American Express intends"" for me. This is a crash and burn customer experience. Yikes.",-1
You do know that's impossible right. Nobody is taking calls. Stop giving out this advice. Its terrible.,-1
I put it in a high yield amex savings account. Kinda wanna spend it on some dumb shit,-1
Just cancelled my account after many years of being a Delta Reserve Member. Your refusal to side with your customers SXSW is disgusting. So much for AMEX's legendary consumer protection. At least I got half of my money back via refund of your exorbitant $550 fee.,-1
Alright go ahead and run my card on May 1st per your misguided (to put it mildly) reopening plan. I blocked your future charges with . I was able to chat w/ a rep immediately & she even inquired as to my health & safety -- imagine that!,-1
"wait, so the only way I can update my User ID for is to ""cancel your current online account and re-register with a new User ID""? Really? This seems like a simple feature for your IT team to tackle in 2020! Update your Web Product Roadmap.",-1
